Accident_Index,Accident_Severity
2016010001940,2
2016010001941,3
2016010001943,3
2016010001944,2
2016010001945,2
2016010001947,2
2016010001948,2
2016010001949,3
2016010001951,3
2016010001952,2
2016010001953,3
2016010001954,3
2016010001956,3
2016010001957,3
2016010001958,3
2016010001959,3
2016010001960,3
2016010001963,3
2016010001964,3
2016010001965,3
2016010001967,2
2016010001969,3
2016010001970,3
2016010001971,3
2016010001972,3
2016010001975,3
2016010001977,3
2016010001978,3
2016010001979,3
2016010001980,3
2016010001982,3
2016010001983,3
2016010001986,2
2016010001989,3
2016010001991,3
2016010001992,3
2016010001994,3
2016010001995,3
2016010001998,3
2016010001999,3
2016010002008,3
2016010002011,3
2016010002019,3
2016010002023,3
2016010002024,3
2016010002025,3
2016010002026,3
2016010002029,3
2016010002032,3
2016010002037,3
2016010002038,3
2016010002041,3
2016010002045,3
2016010002052,3
2016010002057,3
2016010002058,3
2016010002059,3
2016010002061,3
2016010002063,3
2016010002064,3
2016010002066,3
2016010002067,3
2016010002068,3
2016010002069,3
2016010002071,3
2016010002073,3
2016010002074,1
2016010002078,2
2016010002083,3
2016010002084,2
2016010002085,3
2016010002087,3
2016010002089,3
2016010002090,3
2016010002091,3
2016010002092,3
2016010002093,3
2016010002094,1
2016010002095,3
2016010002096,3
2016010002097,3
2016010002098,3
2016010002099,3
2016010002100,3
2016010002101,3
2016010002102,3
2016010002103,3
2016010002104,3
2016010002105,3
2016010002108,3
2016010002109,3
2016010002110,3
2016010002111,3
2016010002114,3
2016010002118,2
2016010002119,2
2016010002120,1
2016010002121,3
2016010002122,3
2016010002123,3
2016010002126,3
2016010002127,3
2016010002128,3
2016010002130,3
2016010002131,3
2016010002132,3
2016010002133,3
2016010002135,3
2016010002143,3
2016010002146,3
2016010002149,3
2016010002152,3
2016010002155,2
2016010002156,3
2016010002157,3
2016010002159,3
2016010002162,3
2016010002165,3
2016010002168,3
2016010002175,3
2016010002178,2
2016010002179,3
2016010002185,3
2016010002187,3
2016010002189,3
2016010002192,3
2016010002200,2
2016010002201,3
2016010002203,3
2016010002208,3
2016010002209,3
2016010002210,3
2016010002211,3
2016010002212,3
2016010002213,3
2016010002214,3
2016010002215,3
2016010002217,3
2016010002218,3
2016010002221,3
2016010002222,2
2016010002226,3
2016010002227,3
2016010002228,3
2016010002231,2
2016010002232,3
2016010002238,3
2016010002239,2
2016010002240,3
2016010002242,3
2016010002243,3
2016010002244,3
2016010002245,3
2016010002246,3
2016010002247,3
2016010002248,3
2016010002250,3
2016010002251,2
2016010002252,3
2016010002253,3
2016010002254,3
2016010002255,3
2016010002256,3
2016010002258,3
2016010002259,3
2016010002260,3
2016010002261,3
2016010002262,3
2016010002263,3
2016010002264,3
2016010002265,3
2016010002266,3
2016010002267,3
2016010002268,2
2016010002271,3
2016010002273,3
2016010002275,3
2016010002276,3
2016010002277,3
2016010002278,3
2016010002279,3
2016010002280,3
2016010002281,3
2016010002282,3
2016010002283,3
2016010002284,3
2016010002285,2
2016010002286,3
2016010002287,3
2016010002288,3
2016010002289,3
2016010002290,2
2016010002292,3
2016010002293,3
2016010002294,3
2016010002295,3
2016010002296,2
2016010002298,3
2016010002299,3
2016010002300,3
2016010002301,3
2016010002306,3
2016010002307,3
2016010002308,3
2016010002309,3
2016010002312,3
2016010002313,3
2016010002314,1
2016010002316,3
2016010002317,3
2016010002320,3
2016010002322,3
2016010002324,3
2016010002325,3
2016010002330,3
2016010002335,3
2016010002339,3
2016010002341,3
2016010002343,2
2016010002344,3
2016010002347,3
2016010002348,3
2016010002355,3
2016010002357,3
2016010002358,3
2016010002359,3
2016010002360,3
2016010002362,3
2016010002363,3
2016010002365,3
2016010002366,3
2016010002367,3
2016010002368,3
2016010002370,3
2016010002371,3
2016010002372,3
2016010002373,3
2016010002374,3
2016010002375,3
2016010002376,2
2016010002377,3
2016010002379,3
2016010002383,3
2016010002385,2
2016010002386,3
2016010002387,3
2016010002388,3
2016010002390,3
2016010002391,3
2016010002392,3
2016010002393,3
2016010002396,3
2016010002397,3
2016010002399,3
2016010002400,3
2016010002401,3
2016010002402,3
2016010002403,3
2016010002404,3
2016010002407,3
2016010002408,2
2016010002409,3
2016010002410,3
2016010002411,2
2016010002414,3
2016010002415,3
2016010002416,3
2016010002417,3
2016010002418,3
2016010002420,3
2016010002421,3
2016010002422,2
2016010002423,3
2016010002424,3
2016010002425,3
2016010002427,3
2016010002428,3
2016010002430,2
2016010002434,3
2016010002436,3
2016010002439,3
2016010002442,3
2016010002443,3
2016010002446,3
2016010002448,3
2016010002449,3
2016010002450,3
2016010002453,2
2016010002455,2
2016010002456,3
2016010002459,3
2016010002460,3
2016010002463,3
2016010002465,3
2016010002466,3
2016010002467,3
2016010002468,3
2016010002469,2
2016010002470,3
2016010002471,3
2016010002473,3
2016010002474,3
2016010002475,3
2016010002476,3
2016010002477,3
2016010002478,3
2016010002480,3
2016010002481,3
2016010002483,3
2016010002484,3
2016010002486,2
2016010002488,3
2016010002489,3
2016010002491,3
2016010002492,3
2016010002493,3
2016010002494,3
2016010002495,3
2016010002496,3
2016010002497,3
2016010002499,3
2016010002500,3
2016010002501,2
2016010002502,3
2016010002503,3
2016010002504,2
2016010002505,2
2016010002508,3
2016010002509,2
2016010002512,3
2016010002518,3
2016010002519,3
2016010002521,3
2016010002522,3
2016010002535,2
2016010002536,3
2016010002538,3
2016010002540,3
2016010002541,2
2016010002544,2
2016010002546,3
2016010002547,3
2016010002550,2
2016010002551,3
2016010002554,3
2016010002556,3
2016010002557,3
2016010002561,3
2016010002565,3
2016010002566,3
2016010002568,3
2016010002570,2
2016010002572,3
2016010002573,3
2016010002575,3
2016010002577,3
2016010002578,3
2016010002580,2
2016010002581,3
2016010002582,3
2016010002584,3
2016010002585,3
2016010002587,3
2016010002590,3
2016010002593,2
2016010002594,3
2016010002595,3
2016010002596,3
2016010002597,3
2016010002598,3
2016010002599,3
2016010002603,3
2016010002612,3
2016010002618,3
2016010002621,3
2016010002624,3
2016010002625,3
2016010002626,3
2016010002627,3
2016010002628,3
2016010002629,3
2016010002630,2
2016010002631,3
2016010002632,3
2016010002633,3
2016010002634,3
2016010002635,3
2016010002636,3
2016010002637,3
2016010002638,2
2016010002639,2
2016010002640,3
2016010002641,3
2016010002643,2
2016010002644,3
2016010002645,2
2016010002646,3
2016010002647,3
2016010002649,3
2016010002651,3
2016010002652,3
2016010002653,3
2016010002656,3
2016010002657,3
2016010002658,3
2016010002659,3
2016010002660,3
2016010002661,3
2016010002662,3
2016010002664,3
2016010002665,3
2016010002666,3
2016010002667,3
2016010002668,3
2016010002669,3
2016010002670,3
2016010002671,3
2016010002672,3
2016010002675,2
2016010002677,3
2016010002679,3
2016010002680,2
2016010002685,3
2016010002701,3
2016010002704,3
2016010002717,3
2016010002723,3
2016010002724,3
2016010002725,3
2016010002729,3
2016010002733,3
2016010002745,2
2016010002746,3
2016010002752,3
2016010002757,3
2016010002764,3
2016010002765,3
2016010002767,3
2016010002771,3
2016010002772,3
2016010002773,3
2016010002774,3
2016010002776,3
2016010002780,1
2016010002782,3
2016010002785,3
2016010002786,3
2016010002787,3
2016010002801,2
2016010002814,3
2016010002816,3
2016010002820,3
2016010002824,3
2016010002825,2
2016010002827,3
2016010002828,3
2016010002829,2
2016010002830,3
2016010002834,3
2016010002835,2
2016010002836,2
2016010002837,3
2016010002838,3
2016010002840,3
2016010002842,2
2016010002843,3
2016010002845,3
2016010002846,3
2016010002847,3
2016010002849,3
2016010002850,3
2016010002851,3
2016010002852,2
2016010002853,3
2016010002854,3
2016010002857,3
2016010002858,3
2016010002859,3
2016010002860,3
2016010002861,3
2016010002862,3
2016010002864,3
2016010002865,3
2016010002866,3
2016010002867,3
2016010002868,3
2016010002871,3
2016010002873,3
2016010002874,3
2016010002878,3
2016010002881,3
2016010002889,2
2016010002892,2
2016010002896,2
2016010002904,3
2016010002925,3
2016010002935,3
