Accident_Index,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area
2016010000695,4,1,1,0,0,1
2016010000696,4,1,1,0,0,1
2016010000697,1,1,2,0,0,1
2016010000698,4,8,1,0,0,1
2016010000700,4,8,1,0,0,1
2016010000707,4,9,2,0,0,1
2016010000708,4,1,1,0,0,1
2016010000711,4,1,1,0,0,1
2016010000717,1,1,1,0,0,1
2016010000718,1,1,1,0,2,1
2016010000719,1,1,1,0,0,1
2016010000722,1,9,1,-1,-1,1
2016010000725,1,1,1,0,0,1
2016010000726,1,8,1,0,0,1
2016010000727,1,1,1,0,0,1
2016010000728,1,1,1,0,0,1
2016010000730,1,1,1,0,0,1
2016010000732,4,1,1,0,0,1
2016010000733,1,1,1,0,0,1
2016010000734,4,1,1,0,0,1
2016010000735,1,1,1,0,2,1
2016010000737,1,1,1,0,1,1
2016010000739,1,1,1,0,0,1
2016010000742,1,1,1,0,0,1
2016010000743,1,1,1,0,6,1
2016010000746,1,1,1,0,0,1
2016010000747,1,1,-1,0,0,1
2016010000748,1,8,-1,-1,-1,1
2016010000749,1,1,1,-1,-1,1
2016010000750,1,1,1,0,0,1
2016010000751,1,1,1,0,0,1
2016010000752,1,1,1,0,0,1
2016010000753,1,1,1,0,0,1
2016010000756,1,1,1,0,0,2
2016010000757,1,1,1,0,0,1
2016010000760,1,1,1,0,0,1
2016010000761,4,9,-1,-1,-1,1
2016010000763,1,1,1,0,0,1
2016010000767,1,1,1,0,0,1
2016010000769,1,1,1,0,0,1
2016010000771,1,1,1,0,0,1
2016010000775,1,1,1,0,0,1
2016010000776,1,1,1,0,0,1
2016010000778,1,1,1,0,0,1
2016010000779,1,1,1,0,0,1
2016010000780,1,1,1,0,0,1
2016010000782,1,1,1,0,0,1
2016010000783,1,1,1,0,0,1
2016010000786,4,1,1,0,2,1
2016010000787,4,1,1,0,0,1
2016010000788,4,1,1,0,0,1
2016010000790,4,1,1,0,0,1
2016010000792,4,1,1,0,0,1
2016010000793,1,1,1,0,0,1
2016010000794,4,1,1,0,0,1
2016010000797,4,1,1,0,0,1
2016010000798,4,1,1,0,0,1
2016010000800,4,1,1,0,0,1
2016010000801,4,1,1,0,0,1
2016010000802,4,1,1,0,0,1
2016010000803,4,1,1,0,0,1
2016010000804,4,1,1,0,0,1
2016010000805,4,1,1,0,0,1
2016010000806,4,1,1,0,0,1
2016010000808,4,1,1,0,0,1
2016010000809,4,2,2,0,0,1
2016010000810,4,2,2,0,0,1
2016010000811,4,1,1,0,0,1
2016010000812,1,9,2,0,0,1
2016010000813,4,1,1,0,0,1
2016010000814,4,2,2,0,0,1
2016010000815,4,2,1,0,0,1
2016010000816,4,2,2,0,0,1
2016010000818,4,2,2,0,0,1
2016010000819,4,2,2,0,0,1
2016010000820,4,2,2,0,6,1
2016010000823,4,2,2,0,0,1
2016010000824,1,1,1,0,0,1
2016010000825,4,1,1,0,0,1
2016010000828,4,2,2,0,0,1
2016010000830,4,2,2,0,0,1
2016010000831,4,2,2,0,0,1
2016010000832,7,2,2,0,0,1
2016010000833,1,1,1,0,0,1
2016010000834,1,1,1,0,0,1
2016010000835,1,1,1,0,0,1
2016010000836,1,1,1,0,0,1
2016010000844,4,2,2,0,0,1
2016010000845,1,2,2,0,0,1
2016010000846,7,9,-1,-1,-1,1
2016010000848,1,2,2,0,0,1
2016010000849,1,2,2,0,0,1
2016010000850,1,2,2,0,0,1
2016010000852,1,1,2,0,0,1
2016010000861,1,2,2,0,0,1
2016010000862,1,2,1,0,0,1
2016010000863,1,2,2,0,0,1
2016010000865,1,2,2,0,0,1
2016010000866,1,2,2,0,2,1
2016010000869,4,1,1,1,0,1
2016010000871,1,2,2,0,0,1
2016010000872,1,2,2,0,0,1
2016010000873,1,2,2,0,0,1
2016010000874,1,4,2,0,0,1
2016010000875,1,2,2,0,0,1
2016010000876,4,9,-1,-1,-1,1
2016010000877,1,8,2,0,0,1
2016010000879,4,9,-1,-1,-1,1
